Servername,host availability %,Status 
slb16474.srv.allianz,0.672789725,Server on retired state on CMDB
slb27700.srv.allianz,0.706391876,Server on retired state on CMDB
slb27698.srv.allianz,0.737007168,Server on retired state on CMDB
sgagc9004.srv.allianz,0.7515681,"Planned outage ,migration of server to aws CHG0610890"
sgagc9004.srv.allianz,0.772849462,"Planned outage ,migration of server to aws CHG0610890"
slb27728.srv.allianz,0.805704898,Server on retired state on CMDB
slb27736.srv.allianz,0.8109319,Server on retired state on CMDB
slb27753.srv.allianz,0.847894265,Server on retired state on CMDB
slc12886,0.904271207,"Server '	In Maintenance"" Mode "
slc13018,0.905764636,"Server '	In Maintenance"" Mode "
slc13020,0.91323178,"Server '	In Maintenance"" Mode "
slc13022,0.917712067,"Server '	In Maintenance"" Mode "
slc12937,0.929659498,"Server '	In Maintenance"" Mode "
sgagc9004.sRV.allianz,0.940113501,"Planned outage ,migration of server to aws CHG0610890"
sla12786.srv.allianz,0.958781362,Server on retired state on CMDB
slc10776,1.054360812,Server on retired state on CMDB
slc10179,1.059587814,Server on retired state on CMDB
slc10758,1.065561529,Server on retired state on CMDB
slc12920,1.065934886,Server on retired state on CMDB
slc13019,1.127538829,"Server '	In Maintenance"" Mode "
sgagc9004.srv.allianz,1.182795699,"Planned outage ,migration of server to aws CHG0610890"
slb27789.srv.allianz,1.409050179,Server created on july 31st 
slb27735.srv.allianz,1.513216846,Server on retired state on CMDB
slb27755.srv.allianz,1.543458781,Server on retired state on CMDB
slb27765.srv.allianz,1.552419355,Server on retired state on CMDB
slc13082.srv.allianz,1.596848865,"DR server ,server not availableon azure "
slb27638.srv.allianz,1.637544803,Server on retired state on CMDB
slc12874.srv.allianz,1.646505376,"DR server ,server not available on azure "
slb27788.srv.allianz,1.686081243,Server created on july 31st 
slc13845,1.752912186,Server on retired state on CMDB
slb27752.srv.allianz,1.770459976,Server on retired state on CMDB
slc13933,1.911589008,Created on 23rd July 
slb27786.srv.allianz,2.017995818,Server created on july 31st 
sgagc9004.srv.allianz,2.046370968,"Planned outage ,migration of server to aws CHG0610890"
slb27784.srv.allianz,2.098267622,Server on retired state on CMDB
slc13079.srv.allianz,2.124402628,"DR server on stopped state ,Hence planned outage "
sgagc9004.srv.allianz,2.162485066,"Planned outage ,migration of server to aws CHG0610890"
sgagc9004.srv.allianz,2.175179211,"Planned outage ,migration of server to aws CHG0610890"
slb11227.srv.allianz,2.199447431,Server Created Recently
slb16511.srv.allianz,2.212888292,Server decommissioned on 29th July 
slc12832.srv.allinz,2.357377539,"Server '	In Maintenance"" Mode "
slc12938,2.365218041,"Server '	In Maintenance"" Mode "
slb11213.srv.allianz,2.365218041,Server not showing on CMDB 
slb11185.srv.allianz,2.517174432,Server not showing on CMDB 
sla71360.srv.allianz,2.615367384,Server created on 23rd July
slb27746.srv.allianz,2.619100956,Server on retired state on CMDB
slc12821.srv.allianz,2.737828554,Server not showing on console 
slc13835,2.748282557,Server on retired state on CMDB
slb11224.srv.allianz,2.794578853,Server not showing on CMDB 
slb27777.srv.allianz,2.857676225,Server on retired state on CMDB
sgagc9004.srv.allianz,2.916293309,"Planned outage ,migration of server to aws CHG0610890"
slb27783.srv.allianz,3.012619474,Server on retired state on CMDB
slb27782.srv.allianz,3.037634409,Server on retired state on CMDB
slc13222,3.040994624,Server Schedulled for autoshutdown/start as part of cost optimization
slc12603.srv.allianz,3.542786738,"DR server on stopped state ,Hence planned outage "
slb11194.srv.allianz,3.55734767,Server not available on CMDB 
slb27743.srv.allianz,3.625298686,Server on retired state on CMDB
slc12349,3.841099164,Server on stopped state
sgagc9004.srv.allianz,4.071460573,"Planned outage ,migration of server to aws CHG0610890"
slb27474.srv.allianz,4.735663082,"Server was on maintanance mode till last July,MNT0025248"
slb27780.srv.allianz,4.948476703,Server on shutdown state till 2nd AUG 
slb23827.srv.allianz,5.143369176,Server on retired state on CMDB
slb24506.srv.allianz,5.150089606,Server on retired state on CMDB
sgagc9004.srv.allianz,5.250896057,"Planned outage ,migration of server to aws CHG0610890"
slb27776.srv.allianz,5.288978495,Server on retired state on CMDB
sgagc9004.srv.allianz,5.380824373,"Planned outage ,migration of server to aws CHG0610890"
slb27714.srv.allianz,5.408826165,Server on retired state on CMDB
slc12822,5.503285544,Server on shutdown state 
slc13221,5.681376941,Server on shutdown state 
slb27774.srv.allianz,5.709005376,Server on retired state on CMDB
slc13223,5.785543608,Server on shutdown state 
slc12605,6.035319594,DR server on shutdown state 
slb11199.srv.allianz,6.051373955,server not on CMDB 
slb16451.srv.allianz,6.889560932,Server on retired state on CMDB
slb16452.srv.allianz,6.896654719,Server on retired state on CMDB
sgagc9004.srv.allianz,6.998207885,"Planned outage ,migration of server to aws CHG0610890"
slc02428,7.09453405,server not on CMDB 
slc13080,7.206914576,"DR Server ,On shutdown state "
slb16442.srv.allianz,7.219982079,server not on CMDB 
slb27718.srv.allianz,7.51754779,Retired state on CMDB 
sgagc9004.agcsropus-vpc-fbrb4-dxootrhunho.ase1.aws.aztec.cloud.allianz,7.551523297,"Planned outage ,migration of server to aws CHG0610890"
slc13697,7.914426523,Retired state on CMDB 
slb27772.srv.allianz,8.522625448,Retired state on CMDB 
slc13825,8.529345878,Stopped state 
sla80501.srv.allianz,8.58161589,"Server running for last 31 days,no outage found "
slb27770.srv.allianz,8.752240143,Retired state on CMDB 
slc13068,8.947879331,Server on shutdown state 
slc13069,9.05167264,Server on shutdown state 
slc12419.fltrnsfr.fc1.azure.aztec.cloud.allianz,9.094235364,Server up and running fine for last 26 days 
slb27721.srv.allianz,9.102449223,Retired state on CMDB 
slc13081,9.152479092,DR server on shutdown state 
slc12420.fltrnsfr-we1.we1.azure.aztec.cloud.allianz,9.221550179,"SFTP server ,faced filesystem error "
slb27767.srv.allianz,10.6712963,Decommissioned server 
slc13962,11.12305854,Server created recently
slc13961,11.26120072,Server on stopped state 
slc13963,11.28285544,Server created recently
sla23757.srv.allianz,11.33699223,"Server running fine ,only patching outage happened "
slc13962,11.41203704,Server on inactive state 
slc13960,11.51209677,Server on shutdown state till July 28th 
slb11182.srv.allianz,11.79136798,Server not on CMDB 
sgagc9004.srv.allianz,11.91532258,"Planned outage ,migration of server to aws CHG0610890"
slb27714.srv.allianz,12.12664277,Retired server 
slb16454.srv.allianz,12.24574373,Retired server 
slc13783,12.46565114,Retired server 
slc13626,12.60902031,server on stopped state as part of cost optimization
slc02427,16.49865591,Server not on cmdb 
slb27714.srv.allianz,16.50649642,Retired server 
slb16496.srv.allianz,16.55577957,Server decommissione on 28th july 
slc13957,16.99186081,server created recently
slc13956,17.01164875,server created recently
slc13621,17.5436828,"Pacemaker test server ,Planned activity ,Disabled alert "
slc13719,18.36730884,Server on shutdown state 
sgagc9004.srv.allianz,18.83848566,"Planned outage ,migration of server to aws CHG0610890"
slb11214.srv.allianz,18.8896356,Server not on Vcenter 
slc05656,19.71811529,Server created on 26th july 
slb16423.srv.allianz,20.18145161,server retired 
slb16420.srv.allianz,20.19265233,server retired 
slc13832,20.44802867,server retired 
slc13955,20.97371565,Server created recently 
slc13954,20.97371565,Server created recently 
sla20635.srv.allianz,21.06854839,server retired 
sla20636.srv.allianz,21.07078853,server retired 
slb27016.srv.allianz,21.84326464,server retired 
slc13846,22.30846774,server Retired 
slb27743.srv.allianz,22.39695341,server Retired 
slc13783,22.86962366,server Retired 
slb23964.srv.allianz,24.2458184,Server started after 26th July 
slb20633.srv.allianz,24.40188172,server Retired 
slb16489.srv.allianz,24.73715651,Server decommissioned on 30th July
slc13948,24.78606631,Server recently created 
slc13947,24.79166667,Server recently created 
slb16502.srv.allianz,25.41367981,Server decommissioned on 30th July
slc05654,25.4364546,Server recently created 
slb27757.srv.allianz,25.54286141,server Retired 
slc05617,26.84811828,server Retired 
slc13944,27.21923536,Server recently created 
slc13942,28.05630227,Server recently created 
slc13941,28.07235663,Server recently created 
slc13940,28.07945042,Server recently created 
slc13939,28.10745221,Server recently created 
slc13938,28.12798686,Server recently created 
slc13937,28.140681,Server recently created 
slc13936,28.16084229,Server recently created 
slc13935,28.1843638,Server recently created 
slc02449,28.42219235,Server recently created 
slc13774,29.80734767,server Retired 
slc05619,29.95071685,server Retired 
slc11705.gisapps-d.fc1.azure.aztec.cloud.allianz,30.2296147,
slc11706.gisapps-d.fc1.azure.aztec.cloud.allianz,30.23969534,
sla16089.srv.allianz,30.2426822,
slb27586.srv.allianz,30.26583035,
slc13932,30.38567802,
slc13930,30.4338411,
slc13929,30.45400239,
slc13928,30.46333632,
slc13927,30.47715054,
slc13904,30.81391876,
slc13903,30.89008363,
sla92707.srv.allianz,32.52688172,
sgagc0030.srv.allianz,32.77628435,
sgagc0033.srv.allianz,32.77740442,
sgagc0031.srv.allianz,32.77777778,
sgagc0034.srv.allianz,32.78001792,
sgagc0032.srv.allianz,32.78412485,
sgagc0036.srv.allianz,32.79121864,
sgagc0035.srv.allianz,32.79121864,
slb22049.srv.allianz,32.79345878,
slc13623,33.32959976,
slb27703.srv.allianz,33.40688471,
slb27748.srv.allianz,33.42853943,
slb27749.srv.allianz,33.43787336,
slc13924,33.43862007,
slc13923,33.442727,
slc13922,33.47371565,
slc13921,33.55286738,
slc02422,33.72983871,
slc13919.saphcmrise-p.we1.azure.aztec.cloud.allianz,34.08191458,
slb11203.srv.allianz,36.92502987,
slb24137.srv.allianz,36.94556452,
slc13824,38.08691756,
slc13806,38.81123059,
slc13745,39.80996117,
slc13750,39.81257467,
slc13742,39.8140681,
slc13604,39.81444146,
slc13575,39.81518817,
slc13150,39.81518817,
slc13663,39.81556153,
slc13741,39.81593489,
slc12343.srv.allianz,39.83908303,
slc12346.srv.allianz,39.84393668,
slc13584,39.84804361,
slc13744,39.84916368,
slc13587,39.84953704,
slc13752,39.84991039,
slc13751,39.85028375,
slc13743,39.85215054,
slc12879,39.8551374,
slc13151,39.85999104,
slc13634,39.9432497,
slc13638,39.96826464,
slc13909,41.25746714,
sla18305.srv.allianz,42.25395759,
slb24483.srv.allianz,43.08691756,
slb24482.srv.allianz,43.08691756,
slc02448,43.27284946,
slc13913,43.51889188,
slb25986.srv.allianz,43.54166667,
slc13912,43.67644863,
slb11209.srv.allianz,43.68204898,
slc13737,43.73655914,
slc13911,43.8302718,
slc13910,43.8582736,
slb27579.srv.allianz,44.36641278,
slb11207.srv.allianz,44.58968041,
slc12859,46.01217145,
slc12966,46.01739845,In maintenance
slc12860,46.01814516,
slc13605,46.02859916,
slc12884,46.02934588,
slc12856,46.03083931,
slc12885,46.03419952,
slc13581,46.03718638,
slc12878,46.03830645,
slb23983.srv.allianz,46.23245221,
slc13907,46.52516428,
slc13905,46.53188471,
slc13906,46.53785842,
slb27583.srv.allianz,46.95676523,
slb11204.srv.allianz,47.45482378,
slc13017,47.75089606,In maintenance
slc13065,47.75201613,
slc12794,47.77815114,In maintenance
slc13067,47.78039128,
slc12348,47.78188471,
slc12940,47.78263142,In maintenance
slc10160,48.3598417,Retired
ovd88202.cdg.oci.aztec.cloud.allianz,48.45990143,Not manage by HC-Linux team.
slc13021,48.58572282,In maintenance
slc13898,49.76553166,
slc12457,49.97237157,
sla18217.srv.allianz,50.42525388,
slb11197.srv.allianz,50.74783453,
sla82047.srv.allianz,51.02374552,
slb27732.srv.allianz,52.91330645,
slc02435,53.3213859,
slc13891,53.33445341,
slc13890,53.34341398,
slc13889,53.54390681,
slc05479.srv.allianz,53.62903226,
slc05501.srv.allianz,53.64023297,
slc05502.srv.allianz,53.64247312,
slc05464,53.65367384,
slc05480.srv.allianz,53.65591398,
slc05526.srv.allianz,53.65964755,
slc05525.srv.allianz,53.66599462,
slc05518.srv.allianz,53.67831541,
slc05504,53.67831541,
slc05503,53.67831541,
slc05465,53.67831541,
slb27729.srv.allianz,53.85267324,
slb11193.srv.allianz,53.92846476,
ovd83102.fra.oci.aztec.cloud.allianz,54.30032855,Not manage by HC-Linux team.
slc13698.srv.allianz,55.96699522,
slc12723,56.32168459,Retired
slc13281,56.32579152,Retired
slb16479.srv.allianz,56.91046894,
ovd83101.fra.oci.aztec.cloud.allianz,57.17107228,Not manage by HC-Linux team.
slc13821,58.68914277,
slb16477.srv.allianz,61.36835424,
ovd83202.fra.oci.aztec.cloud.allianz,64.42278973,Not manage by HC-Linux team.
slb26980.srv.allianz,65.23521505,
ovd83201.fra.oci.aztec.cloud.allianz,65.34386201,Not manage by HC-Linux team.
slc13875,66.3250448,
mapolnprecomp,66.82571685,
sla92707.srv.allianz,67.0120221,
slb22049.srv.allianz,67.18824671,
sgagc0035.srv.allianz,67.18862007,
sgagc0036.srv.allianz,67.19384707,
sgagc0033.srv.allianz,67.19982079,
sgagc0030.srv.allianz,67.2005675,
sgagc0032.srv.allianz,67.20094086,
sgagc0034.srv.allianz,67.20243429,
sgagc0031.srv.allianz,67.203181,
slc12083,69.29808841,Retired
sla20983.srv.allianz,69.52359618,
slc11705.gisapps-d.fc1.azure.aztec.cloud.allianz,69.7057945,
slc11706.gisapps-d.fc1.azure.aztec.cloud.allianz,69.72110215,
sla86993.srv.allianz,71.22759857,
slb27127.srv.allianz,72.06242533,
slc13863,72.43242234,
slc13862,72.48618578,
slc12714,75.60259857,Retired
slb24841.srv.allianz,75.67353644,
slc11880.helix1.fc1.azure.aztec.cloud.allianz,75.6869773,
slc13859,76.03270609,
slc13858,76.06332139,
slc13855,76.12791219,
slc13853,76.14994026,
sla22620.srv.allianz,76.41726404,
ovd88201.cdg.oci.aztec.cloud.allianz,76.49118877,Not manage by HC-Linux team.
sla18221.srv.allianz,80.15382318,
slb27644.srv.allianz,80.90389785,
slc11640.srv.allianz,81.95676523,
sla18220.srv.allianz,83.24335424,
slc12854.srv.allianz,84.65837814,
ovd85302.fra.oci.aztec.cloud.allianz,87.09826762,Not manage by HC-Linux team.
ovd94301.fra.oci.aztec.cloud.allianz,87.807273,Not manage by HC-Linux team.
slc11870.helix1.fc1.azure.aztec.cloud.allianz,87.83564815,
slc13783,88.28703704,Retired
ovd85101.fra.oci.aztec.cloud.allianz,88.33109319,Not manage by HC-Linux team.
ovd94101.fra.oci.aztec.cloud.allianz,88.39232378,Not manage by HC-Linux team.
ovd94102.fra.oci.aztec.cloud.allianz,88.44944743,Not manage by HC-Linux team.
ovd85102.fra.oci.aztec.cloud.allianz,88.50246416,Not manage by HC-Linux team.
slc11642.srv.allianz,88.50582437,
sla22621.srv.allianz,88.83064516,
slb21582.srv.allianz,89.77486559,
sla81930.srv.allianz,89.82302867,
slc12420.fltrnsfr-we1.we1.azure.aztec.cloud.allianz,89.91076762,
slc12419.fltrnsfr-we1.we1.azure.aztec.cloud.allianz,90.01269415,
slc12462,90.19675926,
slc12463,90.20049283,
sla25738.srv.allianz,91.26904122,
slb27701.srv.allianz,91.31869773,
sla25739.srv.allianz,91.41651732,
ovd94202.fra.oci.aztec.cloud.allianz,91.50089606,Not manage by HC-Linux team.
ovd94201.fra.oci.aztec.cloud.allianz,91.58415472,Not manage by HC-Linux team.
ovd85301.fra.oci.aztec.cloud.allianz,91.7047491,Not manage by HC-Linux team.
slb27699.srv.allianz,92.31108124,
sla22671.srv.allianz,92.42682198,
ovd93301.cdg.oci.aztec.cloud.allianz,92.5619773,Not manage by HC-Linux team.
ovd89302.fra.oci.aztec.cloud.allianz,92.60976703,Not manage by HC-Linux team.
ovd89301.fra.oci.aztec.cloud.allianz,92.61387395,Not manage by HC-Linux team.
ovd93302.cdg.oci.aztec.cloud.allianz,92.61984767,Not manage by HC-Linux team.
slb27696.srv.allianz,92.63366189,
ovd89102.fra.oci.aztec.cloud.allianz,92.63888889,Not manage by HC-Linux team.
ovd84201.cdg.oci.aztec.cloud.allianz,92.63926225,Not manage by HC-Linux team.
ovd89202.fra.oci.aztec.cloud.allianz,92.64374253,Not manage by HC-Linux team.
ovd89101.fra.oci.aztec.cloud.allianz,92.64411589,Not manage by HC-Linux team.
ovd89201.fra.oci.aztec.cloud.allianz,92.64934289,Not manage by HC-Linux team.
ovd84402.cdg.oci.aztec.cloud.allianz,92.65307646,Not manage by HC-Linux team.
ovd84401.cdg.oci.aztec.cloud.allianz,92.65830346,Not manage by HC-Linux team.
ovd90102.cdg.oci.aztec.cloud.allianz,92.66315711,Not manage by HC-Linux team.
ovd90101.cdg.oci.aztec.cloud.allianz,92.67062425,Not manage by HC-Linux team.
ovd84202.cdg.oci.aztec.cloud.allianz,92.68667861,Not manage by HC-Linux team.
ovd85201.fra.oci.aztec.cloud.allianz,93.10969235,Not manage by HC-Linux team.
slc11318,93.98857527,Ping check alert issue.
ovd81102.cdg.oci.aztec.cloud.allianz,94.00985663,Not manage by HC-Linux team.
ovd81101.cdg.oci.aztec.cloud.allianz,94.20437575,Not manage by HC-Linux team.
sla80734.srv.allianz,94.61842891,Part of patching activity 
slb21604.srv.allianz,94.80846774,Part of patching activity 
slb27693.srv.allianz,95.63097372,
slc12970.srv.allianz,95.83706691,Part of patching activity 
ovd80302.fra.oci.aztec.cloud.allianz,95.90277778,Not manage by HC-Linux team.
sla95616.srv.allianz,96.06220131,Part of patching activity 
sla95634.srv.allianz,96.06369474,Part of patching activity 
sla95630.srv.allianz,96.06630824,Part of patching activity 
sla95633.srv.allianz,96.06705496,Part of patching activity 
sla96729.srv.allianz,96.07601553,Part of patching activity 
sla18219.srv.allianz,96.20034349,Part of patching activity 
ovd80301.fra.oci.aztec.cloud.allianz,96.63455795,Not manage by HC-Linux team.
slb21606.srv.allianz,96.69205496,Part of patching activity 
slb23960.srv.allianz,96.73312425,Part of patching activity 
slc13842,96.78054062,
slc13841,96.92316308,
slc12169.srv.allianz,97.02844982,Part of patching activity 
slc13170.srv.allianz,97.16099164,Part of patching activity 
slb27581.srv.allianz,97.21027479,
slc13840,97.76695042,
ovd87202.cdg.oci.aztec.cloud.allianz,97.78897849,Not manage by HC-Linux team.
slc13839,97.81996714,
ovd81302.cdg.oci.aztec.cloud.allianz,97.88119773,Not manage by HC-Linux team.
sla87355.srv.allianz,97.93608124,Ping check alert issue.
slc13305,97.93720131,
slc12972.srv.allianz,98.02531362,Ping check alert issue.
sla21229.srv.allianz,98.08019713,Server retired
sla20799.srv.allianz,98.12873357,Server retired
slc11333,98.19071087,Ping check alert issue.
ovd88102.cdg.oci.aztec.cloud.allianz,98.28778375,Not manage by HC-Linux team.
sla99361.srv.allianz,98.35125448,
ovd94302.fra.oci.aztec.cloud.allianz,98.45616786,Not manage by HC-Linux team.
slb27691.srv.allianz,98.46288829,
ovd92302.cdg.oci.aztec.cloud.allianz,98.48790323,Not manage by HC-Linux team.
ovd88101.cdg.oci.aztec.cloud.allianz,98.52299881,Not manage by HC-Linux team.
ovd91102.fra.oci.aztec.cloud.allianz,98.56481481,Not manage by HC-Linux team.
slc12123,98.59767025,Ping check alert issue.
ovd88301.cdg.oci.aztec.cloud.allianz,98.62529869,Not manage by HC-Linux team.
ovd85202.fra.oci.aztec.cloud.allianz,98.66748805,Not manage by HC-Linux team.
ovd85401.fra.oci.aztec.cloud.allianz,98.67010155,Not manage by HC-Linux team.
ovd85402.fra.oci.aztec.cloud.allianz,98.69511649,Not manage by HC-Linux team.
slc12968.srv.allianz,98.71117085,Ping check alert issue.
slb27689.srv.allianz,98.72162485,
slc13838,98.76978793,
slc05651,98.77501493,
ovd88302.cdg.oci.aztec.cloud.allianz,98.79666965,Not manage by HC-Linux team.
ovd91101.fra.oci.aztec.cloud.allianz,98.84296595,Not manage by HC-Linux team.
slc13837,98.89075568,
slc13836,98.91614397,
slc12827,98.96580048,Ping check alert issue.
sla30666.srv.allianz,98.9979092,Part of patching activity 
ovd81301.cdg.oci.aztec.cloud.allianz,99.3130227,Not manage by HC-Linux team.
sla97655.srv.allianz,99.32235663,Part of patching activity 
ovd87101.cdg.oci.aztec.cloud.allianz,99.37014636,Not manage by HC-Linux team.
ovd87201.cdg.oci.aztec.cloud.allianz,99.42577658,Not manage by HC-Linux team.
sla18218.srv.allianz,99.4474313,
sla85472.srv.allianz,99.46012545,Multiple load average INCs received 
slb25803.srv.allianz,99.48999403,Part of patching activity 
ovd92301.cdg.oci.aztec.cloud.allianz,99.54973118,Not manage by HC-Linux team.
slb21603.srv.allianz,99.56951912,Part of patching activity 
sla81012.srv.allianz,99.58520012,Part of patching activity 
ovd93101.cdg.oci.aztec.cloud.allianz,99.64195042,Not manage by HC-Linux team.
slb21934.srv.allianz,99.66696535,
sla81194.srv.allianz,99.67816607,Ping check alert issue.
sla81769.srv.allianz,99.68451314,Part of patching activity 
sla29045.srv.allianz,99.72968937,
slb24107.srv.allianz,99.76814516,Ping check alert issue.
slc11609,99.8192951,Ping check alert issue.
sla21892.srv.allianz,99.82004182,
slc13323,99.82750896,Part of patching activity 
